Агиртид Томпсона:       Намибия, ЮАР
Аурата сетуньская:      Австралия, Бутан, Вевелония, Германия, Греция, Индия, Йемен, Камчатка, Кения, Малайзия, Непал, Россия, Танганьика, Танзания, Уганда, Шри-Ланка, Эритрея, Эфиопия, Япония
Галиплид плавучий:      Австрия, Албания, Вайоминг, Венгрия, Воронеж, Липецк, Москва, Тамбов, Уганда, Уругвай, Ходынка, Чехия
Геориссид Лапорта:      Венесуэла, Гондурас, Уругвай, Фивы
Гидрофил Латрейя:       Судан, Танзания, Троицк, Шри-Ланка
Гидрохид Томпсона:      Бобруйск, Жмеринка, Минск, Таллин
Гортикола филоперьевая: Австралия, Вайоминг, Вевелония, Греция, Дания, Елабуга, Зимбабве, Индия, Камчатка, Кения, Ливан, Прерия, Россия, Сибирь, Сингапур, Танганьика, Уганда, Филиппины, Херсонес, Эфиопия, Югославия, Ямайка
Дендрофилин Рейтера:    Гавана, Гондурас, Куба, Тобаго, Тринидад, Юкатан
Десятилиньята лепая:    Австралия, Албания, Вевелония, Зимбабве, Индия, Пакистан, Парагвай, Патагония, Прерия, Россия, Сибирь, Уганда, Филиппины, Эритрея, Ямайка
Джиринда вертлявая:     Бавария, Бургундия, Замбия, Намибия, Огайо, ЮАР
Дытисца плавучая:       Австралия, Бранденбург, Бургундия, Замбия, Ливан, Липецк, Магдебург, Огайо, Прерия, Рейкьявик, Руанда, Севастополь, Эфиопия, Ямал
Карабид жужелиный:      Гана, Дания, Индия, Йорк, Калькутта, Камчатка, Патагония, Прерия, Россия, Руанда, Сибирь, Таллин, Тамбов, Уганда, Уругвай, Эфиопия, Ямал
Лорицерин сяпый:        Болгария, Венгрия, Румыния, Саратов, Сингапур, Словакия, Таруса, Уфа, Хамовники, Цинциннати, Чехия, Шамбала, Япония
Мелолонтий восточный:   Австрия, Аугсбург, Босния, Британия, Елабуга, Ливан, Магдебург, Мексика, Мехико, Парагвай, Тотьма, Эфиопия, Ямайка, Ямал
Мелолонтий западный:    Австралия, Вевелония, Дания, Елабуга, Кения, Ливан, Ломбардия, Пакистан, Парагвай, Сингапур, Танганьика, Таруса, Тотьма, Филиппины, Эфиопия, Япония
Мелэнин мелолонтьевый:  Бавария, Германия, Дания, Европа, Жмеринка, Россия, Руанда, Чехия, Шамбала, Шри-Ланка, Щукино, Эритрея, Югославия, Ямал
Нотерида ныряющая:      Аугсбург, Бранденбург, Вильно, Кёнигсберг, Словакия, Словения, Чехия, Югославия
Омофрон скенный:        Бранденбург, Британия, Бургундия, Вайоминг, Кения, Курдистан, Татария, Турция, Уфа, Форос, Фракия, Херсонес, Цинциннати, Чад, Щукино, ЮАР
Орхимонтин Перкинса:    Куба, Мексика, Намибия, Тобаго
Пауссин дырявый:        Албания, Венгрия, Гондурас, Дедовск, Жмеринка, Калькутта, Камчатка, Канада, Липецк, Ломбардия, Магдебург, Россия, Руанда, Уганда, Уругвай, ЮАР
Плотинник плотинный:    Плотина
Популий гряжомельский:  Албания, Вайоминг, Вевелония, Греция, Елабуга, Зимбабве, Кения, Курдистан, Ливан, Непал, Пакистан, Патагония, Россия, Сингапур, Танганьика, Танзания, Филиппины, Херсонес, Эфиопия, Югославия, Япония
Псидрин глокий:         Дания, Дедовск, Европа, Таруса, Татария, Уганда, Щукино, Эритрея, ЮАР, Ямайка
Семипунктата Коха:      Вевелония, Германия, Греция, Дания, Елабуга, Зимбабве, Йемен, Малайзия, Пакистан, Россия, Сингапур, Танганьика, Херсонес, Шри-Ланка, Эфиопия, Ямайка, Япония
Сиагонина самогонная:   Бавария, Венгрия, Вильно, Дедовск, Европа, Жмеринка, Индия, Ирак, Ирландия, Калькутта, Магдебург, Намибия, Огайо, Патагония, Россия, Саратов, Таллин, Тамбов, Уганда, Филиппины, Хамовники, Цинциннати, Чад, Шамбала
Синтелид Льюиса:        Чад, ЮАР, Югославия
Скарита печальная:      Европа, Жмеринка, Замбия, Ирак, Иран, Ирландия, ЮАР
Тинник простой:         Гана, Гондурас, Греция, Европа, Канада, Оттава, Парагвай, Патагония, Россия, Танзания, Уганда, Уругвай, Форос, Фракия, Херсонес, Хамовники, Щукино, Эритрея, ЮАР
Трахипахид жосткый:     Вайоминг, Венгрия, Воронеж, Таллин, Таруса, Уганда, Форос, Фракия, Ходынка, Цинциннати, Чехия
Трехина домовая:        Аугсбург, Мюнхен, София, Турция
Трибалин Бикхарда:      Магдебург, Новгород, Португалия, Франция, Юкатан
Харпалин цветной:       Альпы, Дедовск, Камчатка, Канада, Липецк, Мексика, Нахабино, Огайо, Прерия, Рейкьявик, Руанда, Севастополь, Таруса, Эфиопия, Ямал
Шперхеид Эриксона:      Зимбабве, Намибия, Москва, Мюнхен
